"f(m,k)",M1,M2,M3,M4
K1,2,1,4,5
K2,5,1,3,2
K3,1,2,5,4
K4,5,4,2,1
K5,4,5,1,2
K6,3,5,2,1
K7,1,2,5,3
K8,2,3,1,5

P(m),M1,M2,M3,M4
P,0.312,0.355,0.156,0.177

P(k),K1,K2,K3,K4,K5,K6,K7,K8
P,0.004,0.147,0.194,0.133,0.148,0.097,0.237,0.039

Pe(m),M1,M2,M3,M4
E1,0.521,0.208,0.114,0.157
E2,0.053,0.601,0.141,0.205
E3,0.277,0.128,0.211,0.383
E4,0.36,0.368,0.005,0.267
E5,0.351,0.348,0.27,0.031

Pe(m)-P(m),M1,M2,M3,M4
E1,0.209,-0.147,-0.043,-0.019
E2,-0.259,0.246,-0.015,0.029
E3,-0.035,-0.226,0.055,0.207
E4,0.048,0.013,-0.152,0.09
E5,0.039,-0.006,0.114,-0.146

Pe(k)/P(m),E1,E2,E3,E4,E5
K1,0.015,0.015,0,0.029,0.015
K2,0.571,0.579,1.352,0,0.591
K3,0.753,0.764,0,1.512,0.779
K4,0.516,0.524,0,1.037,0.534
K5,0.574,0.583,0,1.154,0.594
K6,0.375,0.38,0.887,0,0.387
K7,0.916,0.93,2.17,0,0.948
K8,0.153,0.155,0.362,0,0.158
