"f(m,k)",M1,M2,M3,M4,M5
K1,2,4,1,3,5
K2,4,1,3,5,2
K3,1,2,5,4,3
K4,5,3,2,1,4
K5,3,5,4,2,1
K6,4,1,5,3,2
K7,5,2,3,4,1
K8,3,5,2,1,4
K9,1,3,4,2,5
K10,2,4,1,5,3
K11,5,4,1,3,2
K12,3,2,5,1,4
K13,1,5,4,2,3
K14,2,1,3,4,5
K15,4,3,2,5,1

P(m),M1,M2,M3,M4,M5
P,0.122,0.258,0.309,0.254,0.057

P(k),K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15
P,0.102,0.014,0.118,0.075,0.105,0.014,0.115,0.059,0.036,0.062,0.094,0.042,0.039,0.057,0.068

Pe(m),M1,M2,M3,M4,M5
E1,0.127,0.118,0.428,0.239,0.087
E2,0.127,0.334,0.292,0.215,0.032
E3,0.129,0.236,0.296,0.275,0.064
E4,0.054,0.306,0.256,0.339,0.046
E5,0.183,0.277,0.287,0.194,0.059

Pe(m)-P(m),M1,M2,M3,M4,M5
E1,0.005,-0.14,0.119,-0.015,0.031
E2,0.005,0.076,-0.017,-0.039,-0.024
E3,0.007,-0.022,-0.013,0.021,0.007
E4,-0.068,0.048,-0.054,0.085,-0.011
E5,0.061,0.02,-0.022,-0.061,0.002

Pe(k)/P(m),E1,E2,E3,E4,E5
K1,0.548,0.48,0.525,0.469,0.542
K2,0.075,0.066,0.072,0.064,0.074
K3,0.636,0.556,0.609,0.544,0.628
K4,0.401,0.35,0.384,0.343,0.396
K5,0.563,0.493,0.54,0.482,0.557
K6,0.078,0.068,0.074,0.066,0.077
K7,0.618,0.541,0.592,0.529,0.611
K8,0.315,0.276,0.302,0.27,0.312
K9,0.193,0.169,0.185,0.165,0.19
K10,0.333,0.291,0.319,0.285,0.329
K11,0.503,0.44,0.482,0.431,0.497
K12,0.225,0.197,0.216,0.193,0.223
K13,0.21,0.184,0.201,0.18,0.208
K14,0.305,0.267,0.293,0.261,0.302
K15,0.363,0.318,0.348,0.311,0.359
