"f(m,k)",M1,M2,M3,M4,M5,M6,M7,M8
K1,6,1,5,8,4,7,2,3
K2,5,7,3,4,2,6,1,8
K3,3,5,7,2,8,1,6,4
K4,7,2,8,6,1,4,3,5
K5,8,3,4,1,6,2,5,7
K6,4,6,2,7,5,3,8,1
K7,2,4,1,5,3,8,7,6
K8,1,8,6,3,7,5,4,2

P(m),M1,M2,M3,M4,M5,M6,M7,M8
P,0.182,0.18,0.19,0.049,0.126,0.183,0.017,0.074

P(k),K1,K2,K3,K4,K5,K6,K7,K8
P,0.167,0.167,0,0.167,0.167,0,0.167,0.167

Pe(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,0.245,0.242,0.255,0.066,0.169,0.0,0.023,0.0
E2,0.239,0.236,0.0,0.0,0.165,0.24,0.022,0.097
E3,0.0,0.283,0.299,0.077,0.198,0.0,0.027,0.116
E4,0.0,0.242,0.255,0.066,0.169,0.246,0.023,0.0
E5,0.262,0.0,0.273,0.071,0.0,0.263,0.024,0.106
E6,0.226,0.0,0.236,0.061,0.157,0.228,0.0,0.092
E7,0.239,0.236,0.0,0.0,0.165,0.24,0.022,0.097
E8,0.212,0.21,0.221,0.057,0.0,0.213,0.0,0.086

Pe(m)-P(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,0.063,0.062,0.065,0.017,0.043,-0.183,0.006,-0.074
E2,0.057,0.056,-0.19,-0.049,0.039,0.057,0.005,0.023
E3,-0.182,0.103,0.109,0.028,0.072,-0.183,0.01,0.042
E4,-0.182,0.062,0.065,0.017,0.043,0.063,0.006,-0.074
E5,0.08,-0.18,0.083,0.022,-0.126,0.08,0.007,0.032
E6,0.044,-0.18,0.046,0.012,0.031,0.045,-0.017,0.018
E7,0.057,0.056,-0.19,-0.049,0.039,0.057,0.005,0.023
E8,0.03,0.03,0.031,0.008,-0.126,0.03,-0.017,0.012

Pe(k)/P(m),E1,E2,E3,E4,E5,E6,E7,E8
K1,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
K2,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K4,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
K5,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
K6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K7,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
K8,1.344,1.312,1.572,1.342,1.439,1.244,1.312,1.166
