"f(m,k)",M1,M2,M3,M4,M5,M6,M7,M8
K1,6,1,2,3,8,7,5,4
K2,1,2,3,7,5,8,4,6
K3,3,4,5,1,2,6,7,8
K4,5,3,8,4,6,1,2,7
K5,2,7,6,5,1,4,8,3
K6,7,8,4,6,3,5,1,2
K7,4,6,1,8,7,2,3,5
K8,8,5,7,2,4,3,6,1

P(m),M1,M2,M3,M4,M5,M6,M7,M8
P,0.236,0.051,0.115,0.024,0.132,0.073,0.221,0.147

P(k),K1,K2,K3,K4,K5,K6,K7,K8
P,0.087,0.147,0.144,0.08,0.083,0.154,0.172,0.134

Pe(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,0.261,0.033,0.149,0.026,0.083,0.044,0.256,0.148
E2,0.175,0.067,0.089,0.029,0.17,0.112,0.157,0.201
E3,0.247,0.03,0.123,0.015,0.148,0.071,0.277,0.089
E4,0.298,0.054,0.129,0.014,0.13,0.044,0.237,0.093
E5,0.158,0.057,0.139,0.017,0.162,0.094,0.16,0.212
E6,0.178,0.077,0.083,0.032,0.092,0.092,0.258,0.188
E7,0.274,0.032,0.117,0.027,0.173,0.048,0.241,0.089
E8,0.276,0.069,0.08,0.036,0.1,0.093,0.161,0.185

Pe(m)-P(m),M1,M2,M3,M4,M5,M6,M7,M8
E1,0.025,-0.018,0.034,0.002,-0.049,-0.029,0.034,0.001
E2,-0.061,0.016,-0.026,0.005,0.038,0.039,-0.064,0.054
E3,0.011,-0.022,0.008,-0.009,0.015,-0.002,0.056,-0.058
E4,0.062,0.003,0.014,-0.01,-0.003,-0.029,0.016,-0.054
E5,-0.078,0.006,0.024,-0.007,0.03,0.021,-0.061,0.065
E6,-0.058,0.026,-0.032,0.008,-0.04,0.019,0.037,0.041
E7,0.038,-0.019,0.001,0.003,0.04,-0.025,0.02,-0.058
E8,0.04,0.017,-0.035,0.012,-0.032,0.02,-0.061,0.038

Pe(k)/P(m),E1,E2,E3,E4,E5,E6,E7,E8
K1,0.652,0.772,0.63,0.634,0.725,0.755,0.655,0.756
K2,1.104,1.307,1.067,1.073,1.228,1.278,1.11,1.281
K3,1.085,1.284,1.048,1.055,1.207,1.255,1.09,1.258
K4,0.6,0.711,0.58,0.584,0.668,0.695,0.604,0.696
K5,0.626,0.741,0.605,0.609,0.697,0.725,0.63,0.726
K6,1.156,1.368,1.116,1.124,1.286,1.337,1.162,1.34
K7,1.298,1.536,1.254,1.262,1.444,1.502,1.304,1.505
K8,1.007,1.192,0.973,0.979,1.121,1.166,1.012,1.168
